year,title,img,rating_count,gross,genre,rating,runtime,stars,metacritic,description
2004,The Alamo,2004_the_alamo.jpg,19046,22410000,"Drama, History, War",PG-13,137,6,47,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio Texas."
2004,Mr 3000,2004_mr_.jpg,13508,21800000,"Comedy, Drama, Romance",PG-13,104,5.5,57,"Aging baseball star who goes by the nickname, Mr. 3000, finds out many years after retirement that he didn't quite reach 3,000 hits. Now at age 47 he's back to try and reach that goal."
2004,Torque,2004_torque.jpg,26352,21220000,"Action, Comedy, Crime",PG-13,84,4.1,41,A biker returns from Thailand to set things straight with his girlfriend. One gang leader wants him for delivery of 2 motorbikes filled with crystal meth and another gang leader wants him for murdering his brother.
2005,Kicking & Screaming,2005_kicking__screaming.jpg,34724,52580000,"Comedy, Family, Romance",PG,95,5.6,45,"Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon finds that he's also taking on his father's dysfunctional way of relating."
2005,Hoodwinked!,2005_hoodwinked.jpg,54258,51390000,"Animation, Comedy, Crime",PG,80,6.4,45,"Little Red Riding Hood, the Wolf, the Woodsman, and Granny all tell the police the events that led up to their encounter."
2005,Hide and Seek,2005_hide_and_seek.jpg,79450,51100000,"Drama, Horror, Mystery",R,101,6,NA,"As a widower tries to piece together his life in the wake of his wife's suicide, his daughter finds solace, at first, in her imaginary friend."
2005,The Hitchhiker's Guide to the Galaxy,2005_the_hitchhikers_guide_to_the_galaxy.jpg,181229,51090000,"Adventure, Comedy, Sci-Fi",PG,109,6.8,NA,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy."""
2005,Diary of a Mad Black Woman,2005_diary_of_a_mad_black_woman.jpg,13201,50630000,"Comedy, Drama, Romance",PG-13,116,5.7,NA,A couple's seemingly solid marriage begins to crumble when the wife discovers that her husband intends to divorce her.
2005,Racing Stripes,2005_racing_stripes.jpg,15260,49770000,"Adventure, Comedy, Drama",PG,102,5.2,43,"An abandoned zebra grows up believing he is a racehorse, and, with the help of his barnyard friends and a teenage girl, sets out to achieve his dream of racing with thoroughbreds."
2005,Miss Congeniality 2: Armed & Fabulous,2005_miss_congeniality__armed__fabulous.jpg,66532,48480000,"Action, Comedy, Crime",PG-13,115,5.1,NA,"After Cheryl Frasier and Stan Fields are kidnapped, Gracie goes undercover in Las Vegas to find them."
2005,Munich,2005_munich.jpg,203541,47400000,"Action, Drama, History",R,164,7.5,NA,"Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day."
2005,Kingdom of Heaven,2005_kingdom_of_heaven.jpg,256885,47400000,"Action, Adventure, Drama",R,144,7.2,NA,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."
2005,Hostel,2005_hostel.jpg,163345,47330000,Horror,R,94,5.9,55,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
2005,Nanny McPhee,2005_nanny_mcphee.jpg,64335,47140000,"Comedy, Family, Fantasy",PG,97,6.5,59,A governess uses magic to rein in the behavior of seven ne'er-do-well children in her charge.
2005,Boogeyman,2005_boogeyman.jpg,29037,46750000,"Drama, Horror, Mystery",PG-13,89,4.2,NA,A young man tries to deal with the childhood terror that has never stopped haunting him.
2005,The Legend of Zorro,2005_the_legend_of_zorro.jpg,89030,46460000,"Action, Adventure, Romance",PG,129,5.9,47,"Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action."
2005,Must Love Dogs,2005_must_love_dogs.jpg,29738,43890000,"Comedy, Romance",PG-13,98,5.9,46,"A forty-something preschool teacher looks to the personals for a change of pace and a relationship, with hilarious results."
2005,Transporter 2,2005_transporter_.jpg,184956,43100000,"Action, Thriller",PG-13,87,6.3,56,"Transporter Frank Martin, surfaces in Miami, Florida and is implicated in the kidnapping of the young son of a powerful USA official."
2005,Rumor Has It...,2005_rumor_has_it.jpg,50864,43000000,"Comedy, Drama, Romance",PG-13,97,5.5,NA,"Sarah Huttinger is a woman who learns that her family was the inspiration for the book and film ""The Graduate"" -- and that she just might be the offspring of the well-documented event."
2005,Fever Pitch,2005_fever_pitch.jpg,41065,42070000,"Comedy, Drama, Romance",PG-13,104,6.2,56,Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.
2005,The Sisterhood of the Traveling Pants,2005_the_sisterhood_of_the_traveling_pants.jpg,52107,39010000,"Comedy, Drama, Romance",PG,119,6.5,NA,Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.
2005,Pride & Prejudice,2005_pride__prejudice.jpg,238888,38410000,"Drama, Romance",PG,129,7.8,NA,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome his or her own pride and prejudice?"
2005,The Brothers Grimm,2005_the_brothers_grimm.jpg,113042,37920000,"Action, Adventure, Comedy",PG-13,118,5.9,51,Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.
2005,Derailed,2005_derailed.jpg,69161,36020000,"Crime, Drama, Thriller",R,108,6.6,40,"When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families."
2005,The Island,2005_the_island.jpg,293167,35820000,"Action, Sci-Fi, Thriller",PG-13,136,6.8,50,"A man living in a futuristic sterile colony begins to question his circumscribed existence when his friend is chosen to go to the Island, the last uncontaminated place on earth."
2005,The Constant Gardener,2005_the_constant_gardener.jpg,128198,33580000,"Drama, Mystery, Romance",R,129,7.4,NA,"A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption."
2005,Bad News Bears,2005_bad_news_bears.jpg,19724,32869999.999999996,"Comedy, Sport",PG-13,113,5.8,NA,A grizzled little league coach tries to turn his team of misfits into champs.
2005,Because of Winn-Dixie,2005_because_of_winndixie.jpg,10003,32650000,"Comedy, Drama, Family",PG,106,6.3,54,A mischievous dog befriends a lonely young girl in a new town and helps her make new friends.
2005,Just Friends,2005_just_friends.jpg,101124,32619999.999999996,"Comedy, Romance",PG-13,96,6.2,47,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer."
